gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GPR77|27202	57.36331494	-2.412671009	0.22969303	-10.50389298	8.29E-26	1.54E-21
MT1A|4489	46.04347926	-3.527803112	0.431637291	-8.173073058	3.01E-16	2.80E-12
SCGB3A1|92304	6620.702084	3.900021567	0.486672497	8.013646937	1.11E-15	6.92E-12
AMDHD1|144193	31.39022703	-2.605382614	0.336389302	-7.745141126	9.55E-15	4.45E-11
TMEM213|155006	87.07869611	3.285104561	0.436324108	7.529046648	5.11E-14	1.90E-10
AKAP12|9590	1384.872891	-2.232564895	0.301477795	-7.405404096	1.31E-13	3.96E-10
GNPNAT1|64841	1239.941213	-1.033922118	0.139943036	-7.388164104	1.49E-13	3.96E-10
MKX|283078	55.84569598	-2.449782236	0.336613326	-7.277733971	3.39E-13	7.91E-10
NOTUM|147111	220.4208985	3.120998668	0.437156355	7.139318997	9.38E-13	1.94E-09
MAFK|7975	1936.422155	-1.329855423	0.19358566	-6.869596764	6.44E-12	1.20E-08
FCER2|2208	27.92793812	2.994500649	0.443020406	6.759283783	1.39E-11	2.04E-08
OPN3|23596	1479.109889	-1.615131353	0.239073215	-6.755802197	1.42E-11	2.04E-08
RNASE1|6035	13611.01568	1.667677957	0.246306173	6.770751775	1.28E-11	2.04E-08
CACNB2|783	51.41089815	-1.764904638	0.26365614	-6.693963721	2.17E-11	2.89E-08
ALB|213	73.13859524	4.805906655	0.720790831	6.667546881	2.60E-11	3.23E-08
NCAM1|4684	104.564241	2.317451664	0.351281871	6.597128553	4.19E-11	4.88E-08
ZFR2|23217	30.36689986	4.132121258	0.634904526	6.508256104	7.60E-11	8.33E-08
GRAMD1B|57476	117.20212	-2.28268294	0.352205205	-6.481116426	9.10E-11	8.93E-08
MYBPH|4608	63.91553352	3.359159037	0.517826364	6.487037494	8.75E-11	8.93E-08
CHAD|1101	54.72653416	2.162869343	0.340186462	6.357893637	2.05E-10	1.59E-07
CKMT2|1160	21.31715633	2.235434224	0.35094184	6.369813947	1.89E-10	1.59E-07
DIO1|1733	28.32576423	2.875590507	0.450325097	6.385587939	1.71E-10	1.59E-07
FLG|2312	17.73455923	-1.979658185	0.311078542	-6.363853233	1.97E-10	1.59E-07
NTSR1|4923	57.85775011	-4.311309126	0.677316272	-6.365282071	1.95E-10	1.59E-07
CXCL5|6374	501.6013445	-2.532628434	0.40144126	-6.308839387	2.81E-10	2.01E-07
TAC4|255061	14.82136473	4.593345916	0.727660269	6.312486904	2.75E-10	2.01E-07
PENK|5179	48.28190443	2.908147666	0.462229494	6.29156664	3.14E-10	2.17E-07
LOXL2|4017	1303.857616	-1.517545567	0.241571776	-6.281965513	3.34E-10	2.22E-07
LCN10|414332	30.72989512	2.240379056	0.356999115	6.275587136	3.48E-10	2.24E-07
C11orf92|399948	361.4720392	2.029129	0.323668751	6.269153246	3.63E-10	2.25E-07
PCSK2|5126	473.7494446	4.38077606	0.699778815	6.260229612	3.84E-10	2.31E-07
PPFIBP1|8496	896.7223796	-0.890767387	0.142418917	-6.254558064	3.99E-10	2.32E-07
FAT2|2196	118.0521145	2.676709705	0.430960364	6.211034535	5.26E-10	2.97E-07
SHC1|6464	4622.254782	-0.768891229	0.124215164	-6.189994874	6.02E-10	3.30E-07
RSPO3|84870	223.532444	-2.439661382	0.394957905	-6.177016213	6.53E-10	3.48E-07
PNMA5|114824	13.16616251	3.979850549	0.645447398	6.166033921	7.00E-10	3.54E-07
RGS2|5997	1275.351916	-1.368283394	0.221934885	-6.165247037	7.04E-10	3.54E-07
RIC3|79608	49.52484777	1.953045926	0.320030774	6.102681629	1.04E-09	5.11E-07
BDNF|627	43.02713647	-2.038091256	0.334864889	-6.086309211	1.16E-09	5.48E-07
CNTN6|27255	22.40798933	2.928146081	0.481638939	6.079545989	1.21E-09	5.48E-07
UGT1A10|54575	24.85372512	6.538333979	1.07484524	6.083046878	1.18E-09	5.48E-07
TDRD1|56165	39.85627666	4.071896266	0.671935232	6.059953506	1.36E-09	6.04E-07
CEL|1056	48.06001323	2.249781281	0.373754669	6.019406495	1.75E-09	7.58E-07
FAM129C|199786	19.2851539	2.390408612	0.399391499	5.985126413	2.16E-09	9.16E-07
C1QL2|165257	49.05961183	4.525990186	0.75802409	5.970773552	2.36E-09	9.78E-07
LRRC36|55282	73.33517819	2.163020563	0.363585177	5.949143967	2.70E-09	1.09E-06
MS4A15|219995	428.2187456	2.873492629	0.483593426	5.941959654	2.82E-09	1.12E-06
MT2A|4502	2864.032979	-1.410835365	0.238679757	-5.910997149	3.40E-09	1.32E-06
NRN1|51299	172.7083649	1.490289941	0.252626785	5.899176287	3.65E-09	1.39E-06
NXF3|56000	12.39358863	3.355120273	0.569117732	5.895300894	3.74E-09	1.39E-06
SERPIND1|3053	374.4068394	2.899072391	0.492390313	5.88775269	3.91E-09	1.43E-06
NELL1|4745	163.6784463	4.589918005	0.781586208	5.872567811	4.29E-09	1.51E-06
PIPOX|51268	62.79783804	1.756031716	0.298966317	5.873677448	4.26E-09	1.51E-06
CTSL1|1514	3835.17511	-1.075705699	0.184244705	-5.838461934	5.27E-09	1.82E-06
LOC149620|149620	20.16909501	3.698796822	0.635016195	5.824728329	5.72E-09	1.94E-06
NPC1L1|29881	67.61059714	2.751544988	0.47346724	5.811479134	6.19E-09	2.06E-06
LECT1|11061	78.76570846	6.647510194	1.148432639	5.788332697	7.11E-09	2.28E-06
UGT1A6|54578	1002.468029	3.673930854	0.634710154	5.788359979	7.11E-09	2.28E-06
LASS4|79603	886.9780027	1.183137028	0.205176663	5.766430792	8.10E-09	2.56E-06
